Route,Name,Grade,Type,Length,AreaID
lunch-rock-left-crack,Lunch Rock Left Crack,5.8,TR,25 ft,105790307
little-bruiser,Little Bruiser,5.8,Trad,25 ft,201172223
nameless-right-of-shadowfax,Nameless Right of Shadowfax,5.9-,TR,35 ft,201172980
empathy,Empathy,5.10b,Sport,40 ft,105790295
exit-stage-right-the-l-word,Exit Stage Right / The L Word,5.8,Trad,25 ft,105790295
radagast,Radagast,5.6,Trad,35 ft,201172980
rock-wrestling-smaug,Rock Wrestling/ Smaug,5.9,Trad,35 ft,201172980
craigs-chimney,Craig's Chimney,5.3,TR,20 ft,200412065
ramp-arete,Ramp Arete,5.8,TR,60 ft,105790307
clear-light,Clear Light,5.10a,"Trad, TR",60 ft,105790307
cant-touch-this,Can't touch this,5.10+,TR,60 ft,105790307
the-blocks,The Blocks,5.6,"Trad, TR",30 ft,105790295
fangorn-crack,Fangorn Crack,5.8+,"Trad, TR",30 ft,201172192
master-of-defeet,Master of Defeet,5.11a,Sport,40 ft,105790295
rocking-the-dalai-lama,Rocking the Dalai Lama,5.11d,Sport,30 ft,201172212
cake-walk,Cake Walk,5.3,Trad,40 ft,200412117
indecision,Indecision,5.10a,TR,50 ft,200412117
deviate-behavior,Deviate Behavior,5.11+,Sport,45 ft,200412117
nameless-to-the-right-of-fools-gold,Nameless to the right of Fools Gold,5.8,"Trad, TR",30 ft,201172192
slice-and-dice,Slice and Dice,5.7,Trad,25 ft,201172192
rock-on-right,Rock On Right,5.10d,Sport,35 ft,105790295
absorbine-junior,Absorbine Junior,5.10c,TR,30 ft,105790295
the-thumb,The Thumb,5.12c,Sport,35 ft,105790295
obverse-from-the-gap,Obverse from the Gap,5.11d,Sport,50 ft,105790295
quantum-leap,Quantum Leap,5.11c,Sport,50 ft,105790295
afterthought,Afterthought,5.10a,"Sport, TR",40 ft,201172223
merryanne,Merryanne,5.7+,"Sport, TR",30 ft,201172212
the-wasp,The Wasp,5.11b,Trad,80 ft,105790295
intrinsic-value,Intrinsic Value,5.10c/d,TR,,105790295
caterpillar,Caterpillar,5.8,"Trad, Sport",40 ft,105790295
cave-crack,Cave Crack,5.9,"Trad, TR",40 ft,105790295
digitalis,Digitalis,5.9+,TR,50 ft,200412117
isengard,Isengard,5.10c,Sport,30 ft,201172980
strider-face,Strider Face,5.10b,TR,20 ft,201172980
smeagols-surprise,Smeagol's Surprise,5.6,Trad,30 ft,201172223
volume-ii,Volume II,5.7,TR,50 ft,200412107
the-blocks-direct,The Blocks Direct,5.12-,Trad,25 ft,105790295
knob-job-bypass,Knob Job Bypass,5.10-,"Trad, TR, Boulder",30 ft,105790295
false-mission-gorge-traverse,False Mission Gorge Traverse.,5.10a,Boulder,100 ft,105790295
top-of-the-pops,Top of the Pops,5.7,Trad,30 ft,200412086
old-school-problem-1,Old School Problem  1,5.9,Boulder,15 ft,108837966
old-school-problem-2-aka-south-arete,Old School Problem  2 AKA South Arête.,5.11a,Boulder,15 ft,108837966
old-school-problem-3-aka-southwest-arete,Old School Problem  3 AKA  Southwest Arête,5.11d,Boulder,15 ft,108837966
big-orange,Big Orange,5.12,Boulder,16 ft,108837966
old-school-problem-5-aka-the-north-arete,Old School Problem  5 AKA The North Arête,5.7,Boulder,12 ft,108837966
sierra-club-chimney,Sierra Club Chimney,5.4,"Trad, TR",40 ft,105790295
the-perception-of-buzzy-fuzzy-pelt,The Perception of Buzzy Fuzzy Pelt,5.8,Trad,60 ft,105790295
skyline-chimney,Skyline Chimney,5.4,Trad,50 ft,105790307
the-steps,The Steps,5.2,Trad,,105790307
wallflower,Wallflower,5.10c,TR,30 ft,105790295
hidden-wall,Hidden Wall,5.10,TR,25 ft,105790295
history-book,History Book,5.6,Trad,,200412086
cactus-flower,Cactus Flower,5.6,Trad,,105790307
strider,Strider,5.6,"Trad, TR",25 ft,201172980
joes-58,Joe's 5.8,5.8+,Trad,,105853257
grandpas-dihedral,Grandpa's Dihedral,5.11a,TR,30 ft,201172192
straight-out-of-sitka,Straight Out of Sitka,5.10b,TR,30 ft,201172192
clairemont-calling,Clairemont Calling,5.10d,TR,30 ft,201172192
when-good-books-go-bad,When Good Books Go Bad,5.11c,TR,35 ft,201172212
mission-impossible,Mission Impossible,5.12a,Sport,50 ft,105790295
no-ticket,No Ticket,5.10b,TR,25 ft,200412086
punk-rock-show,Punk Rock Show,5.10c,TR,30 ft,200412086
revision,Revision,5.10d,"Sport, TR",70 ft,200412086
bekes-wild-ride,Beke's Wild Ride,5.6,Trad,,200412107
mission-obscurity,Mission Obscurity,5.7+,Trad,,200412107
lord-of-the-flies,Lord of the Flies,5.10b/c,TR,35 ft,200412065
sloppy-seconds,Sloppy Seconds,5.10a,Trad,40 ft,200412098
bongo-fury,Bongo Fury,5.9,Trad,40 ft,200412098
the-v-slot,The V Slot,5.9,Trad,30 ft,105853257
plumbline,Plumbline,5.12a,Trad,40 ft,105790295
me-overhang-left,ME Overhang Left,5.9,TR,25 ft,201172223
me-overhang-center,ME Overhang Center,5.10b,TR,25 ft,201172223
volume-i,Volume I,5.5,Trad,30 ft,200412107
yellow-jacket,Yellow Jacket,5.12a,Sport,60 ft,105790295
stink-finger,Stink Finger,5.10b,"Sport, TR",25 ft,201172980
razors-edge,Razor's Edge,5.12,Trad,40 ft,105790295
balrog,Balrog,5.11,TR,20 ft,201172212
chicken-fart,Chicken Fart,5.9,Trad,40 ft,105790295
one-step-beyond,One Step Beyond,5.10-,TR,80 ft,105790295
itwillbegotten,Itwillbegotten,5.12c,"Sport, TR",50 ft,105790295
missbegettin,MissBeGettin,5.12c,Trad,90 ft,105790295
chossy-bossy,Chossy Bossy,5.3,Trad,50 ft,200412107
